1,2,Trans,Match,Major
V6,I,V6-I,No,Minor
I6,IV,I6-IV,No,Minor
VII,IV+64,VII-IV+64,No,Minor
IV+,I+64,IV+-I+64,No,Minor
VI,IV,VI-IV,No,Minor
VII,V,VII-V,No,Minor
III,I,III-I,No,Minor
I,IV+,I-IV+,No,Minor
IV,VII,IV-VII,No,Minor
V,I+,V-I+,No,Minor
VI,IV,VI-IV,No,Minor
VII,V,VII-V,No,Minor
III,I,III-I,No,Minor
V,I,V-I,No,Minor
I,IV,I-IV,No,Minor
I,IV+,I-IV+,No,Minor
IV,VII,IV-VII,No,Minor
V,I+,V-I+,No,Minor
III,VI,III-VI,No,Minor
IV+,VII,IV+-VII,No,Minor
VII,III,VII-III,No,Minor
VI,bII,VI-bII,No,Minor
I+,IV+,I+-IV+,No,Minor
I,VII6,I-VII6,No,Minor
IV,III6,IV-III6,No,Minor
V,IV+6,V-IV+6,No,Minor
VII,I6,VII-I6,No,Minor
III,IV6,III-IV6,No,Minor
IV+,V6,IV+-V6,No,Minor
I6,IV+,I6-IV+,No,Minor
IV6,VII,IV6-VII,No,Minor
V6,I+,V6-I+,No,Minor
V,IV+64,V-IV+64,No,Minor
bII,III,bII-III,No,Minor
III,IV+,III-IV+,No,Minor
VI,VII,VI-VII,No,Minor
VII,I+,VII-I+,No,Minor
III,IV,III-IV,No,Minor
IV+,V,IV+-V,No,Minor
VII,I,VII-I,No,Minor
III,VI,III-VI,No,Minor
IV+,VII,IV+-VII,No,Minor
VII,III,VII-III,No,Minor
VI,bII,VI-bII,No,Minor
I+,IV+,I+-IV+,No,Minor
VI,VI6,VI-VI6,No,Minor
V+,V+6,V+-V+6,No,Minor
VII,VII6,VII-VII6,No,Minor
III,III6,III-III6,No,Minor
bII,bII6,bII-bII6,No,Minor
IV+,IV+6,IV+-IV+6,No,Minor
VI6,VI,VI6-VI,No,Minor
V+6,V+,V+6-V+,No,Minor
VII6,VII,VII6-VII,No,Minor
III6,III,III6-III,No,Minor
bII6,bII,bII6-bII,No,Minor
IV+6,IV+,IV+6-IV+,No,Minor
VI,VI,VI-VI,No,Minor
V+,V+,V+-V+,No,Minor
VII,VII,VII-VII,No,Minor
III,III,III-III,No,Minor
bII,bII,bII-bII,No,Minor
IV+,IV+,IV+-IV+,No,Minor
VI,VI6,VI-VI6,No,Minor
V+,V+6,V+-V+6,No,Minor
VII,VII6,VII-VII6,No,Minor
III,III6,III-III6,No,Minor
bII,bII6,bII-bII6,No,Minor
IV+,IV+6,IV+-IV+6,No,Minor
II6,IV6,II6-IV6,No,Minor
I6,IV+64,I6-IV+64,No,Minor
V6,I+64,V6-I+64,No,Minor
VI,VI6,VI-VI6,No,Minor
V+,V+6,V+-V+6,No,Minor
VII,VII6,VII-VII6,No,Minor
III,III6,III-III6,No,Minor
bII,bII6,bII-bII6,No,Minor
IV+,IV+6,IV+-IV+6,No,Minor
VI6,bII,VI6-bII,No,Minor
V+6,I+,V+6-I+,No,Minor
VII6,III,VII6-III,No,Minor
III6,VI,III6-VI,No,Minor
IV+6,VII,IV+6-VII,No,Minor
bII,VI6,bII-VI6,No,Minor
I+,V+6,I+-V+6,No,Minor
III,VII6,III-VII6,No,Minor
VI,III6,VI-III6,No,Minor
VII,IV+6,VII-IV+6,No,Minor
III6,II6,III6-II6,No,Minor
II6,III,II6-III,No,Minor
VI,III,VI-III,No,Minor
VII,IV+,VII-IV+,No,Minor
III,VII,III-VII,No,Minor
bII,VI,bII-VI,No,Minor
IV+,I+,IV+-I+,No,Minor
III,VI6,III-VI6,No,Minor
IV+,VII6,IV+-VII6,No,Minor
VII,III6,VII-III6,No,Minor
VI,bII6,VI-bII6,No,Minor
I+,IV+6,I+-IV+6,No,Minor
VI6,VI,VI6-VI,No,Minor
V+6,V+,V+6-V+,No,Minor
VII6,VII,VII6-VII,No,Minor
III6,III,III6-III,No,Minor
bII6,bII,bII6-bII,No,Minor
IV+6,IV+,IV+6-IV+,No,Minor
VI,III,VI-III,No,Minor
VII,IV+,VII-IV+,No,Minor
III,VII,III-VII,No,Minor
bII,VI,bII-VI,No,Minor
IV+,I+,IV+-I+,No,Minor
III,VI6,III-VI6,No,Minor
IV+,VII6,IV+-VII6,No,Minor
VII,III6,VII-III6,No,Minor
VI,bII6,VI-bII6,No,Minor
I+,IV+6,I+-IV+6,No,Minor
VI6,VI,VI6-VI,No,Minor
V+6,V+,V+6-V+,No,Minor
VII6,VII,VII6-VII,No,Minor
III6,III,III6-III,No,Minor
bII6,bII,bII6-bII,No,Minor
IV+6,IV+,IV+6-IV+,No,Minor
VI,bII,VI-bII,No,Minor
V+,I+,V+-I+,No,Minor
VII,III,VII-III,No,Minor
III,VI,III-VI,No,Minor
IV+,VII,IV+-VII,No,Minor
bII,VI6,bII-VI6,No,Minor
I+,V+6,I+-V+6,No,Minor
III,VII6,III-VII6,No,Minor
VI,III6,VI-III6,No,Minor
VII,IV+6,VII-IV+6,No,Minor
III6,II6,III6-II6,No,Minor
II6,III,II6-III,No,Minor
VI,VI6,VI-VI6,No,Minor
V+,V+6,V+-V+6,No,Minor
VII,VII6,VII-VII6,No,Minor
III,III6,III-III6,No,Minor
bII,bII6,bII-bII6,No,Minor
IV+,IV+6,IV+-IV+6,No,Minor
VII6,I6,VII6-I6,No,Minor
III6,IV6,III6-IV6,No,Minor
IV+6,V6,IV+6-V6,No,Minor
I6,IV+,I6-IV+,No,Minor
IV6,VII,IV6-VII,No,Minor
V6,I+,V6-I+,No,Minor
III,VI6,III-VI6,No,Minor
IV+,VII6,IV+-VII6,No,Minor
VII,III6,VII-III6,No,Minor
VI,bII6,VI-bII6,No,Minor
I+,IV+6,I+-IV+6,No,Minor
VII,I,VII-I,No,Minor
III,IV,III-IV,No,Minor
IV+,V,IV+-V,No,Minor
VII,I6,VII-I6,No,Minor
III,IV6,III-IV6,No,Minor
IV+,V6,IV+-V6,No,Minor
I6,IV+64,I6-IV+64,No,Minor
V6,I+64,V6-I+64,No,Minor
VI,VI6,VI-VI6,No,Minor
V+,V+6,V+-V+6,No,Minor
VII,VII6,VII-VII6,No,Minor
III,III6,III-III6,No,Minor
bII,bII6,bII-bII6,No,Minor
IV+,IV+6,IV+-IV+6,No,Minor
VI6,bII,VI6-bII,No,Minor
V+6,I+,V+6-I+,No,Minor
VII6,III,VII6-III,No,Minor
III6,VI,III6-VI,No,Minor
IV+6,VII,IV+6-VII,No,Minor
bII,III,bII-III,No,Minor
III,IV+,III-IV+,No,Minor
VI,VII,VI-VII,No,Minor
VII,I+,VII-I+,No,Minor
III,bII6,III-bII6,No,Minor
IV+,III6,IV+-III6,No,Minor
VII,VI6,VII-VI6,No,Minor
I+,VII6,I+-VII6,No,Minor
bII6,I6,bII6-I6,No,Minor
VI6,V6,VI6-V6,No,Minor
I6,bII,I6-bII,No,Minor
V6,VI,V6-VI,No,Minor
III,I6,III-I6,No,Minor
VI,IV6,VI-IV6,No,Minor
VII,V6,VII-V6,No,Minor
I6,IV+64,I6-IV+64,No,Minor
V6,I+64,V6-I+64,No,Minor
VI,IV6,VI-IV6,No,Minor
VII,V6,VII-V6,No,Minor
III,I6,III-I6,No,Minor
III,VI,III-VI,No,Minor
IV+,VII,IV+-VII,No,Minor
VII,III,VII-III,No,Minor
VI,bII,VI-bII,No,Minor
I+,IV+,I+-IV+,No,Minor
VII,I6,VII-I6,No,Minor
III,IV6,III-IV6,No,Minor
IV+,V6,IV+-V6,No,Minor
I6,IV+64,I6-IV+64,No,Minor
V6,I+64,V6-I+64,No,Minor
VII6,I6,VII6-I6,No,Minor
III6,IV6,III6-IV6,No,Minor
IV+6,V6,IV+6-V6,No,Minor
I6,VII6,I6-VII6,No,Minor
IV6,III6,IV6-III6,No,Minor
V6,IV+6,V6-IV+6,No,Minor
VI6,bII,VI6-bII,No,Minor
V+6,I+,V+6-I+,No,Minor
VII6,III,VII6-III,No,Minor
III6,VI,III6-VI,No,Minor
IV+6,VII,IV+6-VII,No,Minor
bII,bII,bII-bII,No,Minor
I+,I+,I+-I+,No,Minor
III,III,III-III,No,Minor
VI,VI,VI-VI,No,Minor
VII,VII,VII-VII,No,Minor
bII,VI6,bII-VI6,No,Minor
I+,V+6,I+-V+6,No,Minor
III,VII6,III-VII6,No,Minor
VI,III6,VI-III6,No,Minor
VII,IV+6,VII-IV+6,No,Minor
VI6,bII6,VI6-bII6,No,Minor
V+6,I+6,V+6-I+6,No,Minor
VII6,III6,VII6-III6,No,Minor
III6,VI6,III6-VI6,No,Minor
IV+6,VII6,IV+6-VII6,No,Minor
III6,IV+64,III6-IV+64,No,Minor
VII6,I+64,VII6-I+64,No,Minor
IV+64,VII,IV+64-VII,No,Minor
I+64,IV+,I+64-IV+,No,Minor
VI,VI,VI-VI,No,Minor
V+,V+,V+-V+,No,Minor
VII,VII,VII-VII,No,Minor
III,III,III-III,No,Minor
bII,bII,bII-bII,No,Minor
IV+,IV+,IV+-IV+,No,Minor
VII,IV+64,VII-IV+64,No,Minor
IV+,I+64,IV+-I+64,No,Minor
IV+64,IV+,IV+64-IV+,No,Minor
I+64,I+,I+64-I+,No,Minor
III,VI,III-VI,No,Minor
IV+,VII,IV+-VII,No,Minor
VII,III,VII-III,No,Minor
VI,bII,VI-bII,No,Minor
I+,IV+,I+-IV+,No,Minor
VI,VI6,VI-VI6,No,Minor
V+,V+6,V+-V+6,No,Minor
VII,VII6,VII-VII6,No,Minor
III,III6,III-III6,No,Minor
bII,bII6,bII-bII6,No,Minor
IV+,IV+6,IV+-IV+6,No,Minor
VII,I6,VII-I6,No,Minor
III,IV6,III-IV6,No,Minor
IV+,V6,IV+-V6,No,Minor
I6,VII,I6-VII,No,Minor
IV6,III,IV6-III,No,Minor
V6,IV+,V6-IV+,No,Minor
VI6,III6,VI6-III6,No,Minor
VII6,IV+6,VII6-IV+6,No,Minor
III6,VII6,III6-VII6,No,Minor
bII6,VI6,bII6-VI6,No,Minor
IV+6,I+6,IV+6-I+6,No,Minor
III6,VI,III6-VI,No,Minor
IV+6,VII,IV+6-VII,No,Minor
VII6,III,VII6-III,No,Minor
VI6,bII,VI6-bII,No,Minor
I+6,IV+,I+6-IV+,No,Minor
VI,VI6,VI-VI6,No,Minor
V+,V+6,V+-V+6,No,Minor
VII,VII6,VII-VII6,No,Minor
III,III6,III-III6,No,Minor
bII,bII6,bII-bII6,No,Minor
IV+,IV+6,IV+-IV+6,No,Minor
VI6,III6,VI6-III6,No,Minor
VII6,IV+6,VII6-IV+6,No,Minor
III6,VII6,III6-VII6,No,Minor
bII6,VI6,bII6-VI6,No,Minor
IV+6,I+6,IV+6-I+6,No,Minor
III6,VI,III6-VI,No,Minor
IV+6,VII,IV+6-VII,No,Minor
VII6,III,VII6-III,No,Minor
VI6,bII,VI6-bII,No,Minor
I+6,IV+,I+6-IV+,No,Minor
VI,III6,VI-III6,No,Minor
VII,IV+6,VII-IV+6,No,Minor
III,VII6,III-VII6,No,Minor
bII,VI6,bII-VI6,No,Minor
IV+,I+6,IV+-I+6,No,Minor
III6,VI,III6-VI,No,Minor
IV+6,VII,IV+6-VII,No,Minor
VII6,III,VII6-III,No,Minor
VI6,bII,VI6-bII,No,Minor
I+6,IV+,I+6-IV+,No,Minor
bII,III,bII-III,No,Minor
III,IV+,III-IV+,No,Minor
VI,VII,VI-VII,No,Minor
VII,I+,VII-I+,No,Minor
VI,VI6,VI-VI6,No,Minor
V+,V+6,V+-V+6,No,Minor
VII,VII6,VII-VII6,No,Minor
III,III6,III-III6,No,Minor
bII,bII6,bII-bII6,No,Minor
IV+,IV+6,IV+-IV+6,No,Minor
I,IV+,I-IV+,No,Minor
IV,VII,IV-VII,No,Minor
V,I+,V-I+,No,Minor
VII,II6,VII-II6,No,Minor
II6,I,II6-I,No,Minor
bII6,VI,bII6-VI,No,Minor
I+6,V+,I+6-V+,No,Minor
III6,VII,III6-VII,No,Minor
VI6,III,VI6-III,No,Minor
VII6,IV+,VII6-IV+,No,Minor
VI,IV6,VI-IV6,No,Minor
VII,V6,VII-V6,No,Minor
III,I6,III-I6,No,Minor
IV6,VI,IV6-VI,No,Minor
V6,VII,V6-VII,No,Minor
I6,III,I6-III,No,Minor
VI6,bII,VI6-bII,No,Minor
V+6,I+,V+6-I+,No,Minor
VII6,III,VII6-III,No,Minor
III6,VI,III6-VI,No,Minor
IV+6,VII,IV+6-VII,No,Minor
III,IV+64,III-IV+64,No,Minor
VII,I+64,VII-I+64,No,Minor
VII,IV+64,VII-IV+64,No,Minor
IV+,I+64,IV+-I+64,No,Minor
IV+64,VII6,IV+64-VII6,No,Minor
I+64,IV+6,I+64-IV+6,No,Minor
VII6,IV+64,VII6-IV+64,No,Minor
IV+6,I+64,IV+6-I+64,No,Minor
VII6,I6,VII6-I6,No,Minor
III6,IV6,III6-IV6,No,Minor
IV+6,V6,IV+6-V6,No,Minor
I6,VII,I6-VII,No,Minor
IV6,III,IV6-III,No,Minor
V6,IV+,V6-IV+,No,Minor
VII,IV+64,VII-IV+64,No,Minor
IV+,I+64,IV+-I+64,No,Minor
VII,I,VII-I,No,Minor
III,IV,III-IV,No,Minor
IV+,V,IV+-V,No,Minor
I,VII,I-VII,No,Minor
IV,III,IV-III,No,Minor
V,IV+,V-IV+,No,Minor
VI6,VI,VI6-VI,No,Minor
V+6,V+,V+6-V+,No,Minor
VII6,VII,VII6-VII,No,Minor
III6,III,III6-III,No,Minor
bII6,bII,bII6-bII,No,Minor
IV+6,IV+,IV+6-IV+,No,Minor
VI,VI6,VI-VI6,No,Minor
V+,V+6,V+-V+6,No,Minor
VII,VII6,VII-VII6,No,Minor
III,III6,III-III6,No,Minor
bII,bII6,bII-bII6,No,Minor
IV+,IV+6,IV+-IV+6,No,Minor
VI6,bII,VI6-bII,No,Minor
V+6,I+,V+6-I+,No,Minor
VII6,III,VII6-III,No,Minor
III6,VI,III6-VI,No,Minor
IV+6,VII,IV+6-VII,No,Minor
bII,VI6,bII-VI6,No,Minor
I+,V+6,I+-V+6,No,Minor
III,VII6,III-VII6,No,Minor
VI,III6,VI-III6,No,Minor
VII,IV+6,VII-IV+6,No,Minor
III,IV+64,III-IV+64,No,Minor
VII,I+64,VII-I+64,No,Minor
IV+64,IV+,IV+64-IV+,No,Minor
I+64,I+,I+64-I+,No,Minor
III,VI,III-VI,No,Minor
IV+,VII,IV+-VII,No,Minor
VII,III,VII-III,No,Minor
VI,bII,VI-bII,No,Minor
I+,IV+,I+-IV+,No,Minor
VI,VI,VI-VI,No,Minor
V+,V+,V+-V+,No,Minor
VII,VII,VII-VII,No,Minor
III,III,III-III,No,Minor
bII,bII,bII-bII,No,Minor
IV+,IV+,IV+-IV+,No,Minor
VI,VI6,VI-VI6,No,Minor
V+,V+6,V+-V+6,No,Minor
VII,VII6,VII-VII6,No,Minor
III,III6,III-III6,No,Minor
bII,bII6,bII-bII6,No,Minor
IV+,IV+6,IV+-IV+6,No,Minor
I,VII,I-VII,No,Minor
IV,III,IV-III,No,Minor
V,IV+,V-IV+,No,Minor
VII,I6,VII-I6,No,Minor
III,IV6,III-IV6,No,Minor
IV+,V6,IV+-V6,No,Minor
I6,VII6,I6-VII6,No,Minor
IV6,III6,IV6-III6,No,Minor
V6,IV+6,V6-IV+6,No,Minor
VI6,bII,VI6-bII,No,Minor
V+6,I+,V+6-I+,No,Minor
VII6,III,VII6-III,No,Minor
III6,VI,III6-VI,No,Minor
IV+6,VII,IV+6-VII,No,Minor
III,IV+64,III-IV+64,No,Minor
VII,I+64,VII-I+64,No,Minor
IV+64,IV+,IV+64-IV+,No,Minor
I+64,I+,I+64-I+,No,Minor
III,VI,III-VI,No,Minor
IV+,VII,IV+-VII,No,Minor
VII,III,VII-III,No,Minor
VI,bII,VI-bII,No,Minor
I+,IV+,I+-IV+,No,Minor
VI,VI,VI-VI,No,Minor
V+,V+,V+-V+,No,Minor
VII,VII,VII-VII,No,Minor
III,III,III-III,No,Minor
bII,bII,bII-bII,No,Minor
